number,latitude,longitude,meters
3731,53.84050027048366,27.627042979220278,196.355
3741,53.840604721787734,27.626801580408937,195.911
3751,53.84072183354609,27.62698397062195,195.700
3761,53.840788302236206,27.627171725252992,195.661
3771,53.84101619408697,27.627187818507082,195.335
3781,53.84092756962573,27.626898139933473,195.242
3791,53.84093389995063,27.626587003687746,194.999
3801,53.84086743149164,27.626340240458376,195.122
3811,53.84077247636718,27.626399249056703,195.445
3821,53.840683851390075,27.62622222326172,195.915
3831,53.840566739525485,27.626104206065065,196.534
3841,53.84066169511649,27.625937909106142,196.287
3851,53.840788302236206,27.62574479005707,195.665
3861,53.840769311192666,27.62546047590149,195.782
3871,53.840886422490684,27.62522980592621,195.083
3881,53.84100036830408,27.625374645213014,194.442
3891,53.84094339543614,27.62551948449982,194.792
3901,53.84163972517242,27.624398320476757,188.633
3911,53.84155110203093,27.62461289719795,189.635
3921,53.84153527645022,27.62507960156654,190.774
3931,53.841839126554916,27.62504205064033,188.550
3941,53.84185495202079,27.62478992299293,188.070
3951,53.84162706473511,27.624902575771557,189.748
3961,53.84163972517242,27.624768465320813,189.410
3971,53.84146564382398,27.624704092304455,190.350
3981,53.84134536901504,27.624645083706127,190.982
3991,53.840832614637655,27.626018374721752,195.366
4001,53.84083577980741,27.626190036098706,195.270
4011,53.84102885470899,27.62609347657417,194.417
4021,53.84097188187981,27.62584134892677,194.626
4031,53.84117761673083,27.625498026172863,193.394
4041,53.84113963498829,27.62560531453346,193.627
4051,53.84113330469447,27.625149339000927,193.685
4061,53.84103518501857,27.62504741505836,194.031
4071,53.84114280013481,27.624886482517468,193.004
4081,53.84127890120922,27.624687999050366,191.535
4091,53.84117761673083,27.624752372066723,192.363
4101,53.84132954335657,27.62484356717323,191.627
4111,53.841513120627155,27.62485966042732,190.471
4121,53.84140234133604,27.625025957386242,191.652
4131,53.84126624066283,27.625031321804272,192.573
4141,53.84126307552565,27.625251262943493,192.916
4151,53.841152295572954,27.62536391572212,193.568
4161,53.84135486440726,27.625503390590893,192.418
4171,53.84128206634524,27.625637501041638,192.835
4181,53.841180781874506,27.625782340328442,193.394
4191,53.84106367139979,27.625712602894055,194.093
4201,53.84116179100896,27.625894993107067,193.598
4211,53.84119660758921,27.62607738332008,193.617
4221,53.84110481836064,27.626254409115063,194.226
4231,53.84106367139979,27.626399248401867,194.483
4241,53.84110798350983,27.626662104885327,194.592
4251,53.84111431380741,27.62686595277046,194.837
4261,53.84132637822414,27.62707516507362,194.611
4271,53.841430510935666,27.63102382334182,197.058
4281,53.84134821761363,27.630691229423974,196.811
4291,53.84157642294765,27.630701511661755,196.155
4301,53.84147830431011,27.630519121448742,196.184
4311,53.841377020314056,27.630207985203015,196.024
4321,53.84129789202167,27.63008996800636,196.082
4331,53.84154160668322,27.629971950809704,195.209
4341,53.84143399259199,27.629505246441113,195.307
4351,53.841462478701864,27.629768102924572,195.310
4361,53.84138335057097,27.629247754375683,195.424
4371,53.841212433297926,27.629237025539624,196.107
4381,53.8411712864428,27.629011719982373,195.888
4391,53.84132637822414,27.628952711384045,195.266
4401,53.84150362527084,27.628958075802075,194.637
4411,53.8414403228403,27.628689854900585,194.581
4421,53.84127890120922,27.628657668392407,195.051
4431,53.84134536901504,27.62836262540077,194.702
4441,53.841532111333365,27.628437727253186,194.177
4451,53.84160807407199,27.628190964023815,193.944
4461,53.84144981821098,27.62811049775337,194.410
4471,53.841335873620665,27.628207057277905,194.731
4481,53.84135169927676,27.627895921032177,194.702
4491,53.84125358011262,27.627708166401135,194.993
4501,53.84112697439976,27.627697437565075,195.300
4511,53.841164956153804,27.627439945499646,195.175
4521,53.84132637822414,27.62728974179481,194.760
4531,53.84133903875238,27.627504318516003,194.731
4541,53.84144981821098,27.627654522220837,194.410
4551,53.84156692760566,27.62786909894203,194.061
4561,53.84172201792153,27.62804612473701,193.624
4571,53.84173467833013,27.62783691243385,193.595
4581,53.841642890281136,27.6275579626963,193.857
4591,53.84155743226154,27.627472132007824,194.090
4601,53.84146880894588,27.62730047063087,194.352
4611,53.84151945086351,27.62704297856544,194.000
4621,53.84138018544264,27.62684985951637,194.131
4631,53.84127257093651,27.626930325786816,194.568
4641,53.84127573607299,27.626764028827893,194.291
4651,53.84125358011262,27.626501172344433,194.000
4661,53.84128206634524,27.62629196004127,193.592
4671,53.84137069005615,27.62605056122993,192.879
4681,53.84145298333405,27.626254409115063,192.948
4691,53.84144981821098,27.626415341655957,193.268
4701,53.84139917620914,27.62653872327064,193.621
4711,53.84141816696698,27.626678198139416,193.767
4721,53.84152894621626,27.62678548650001,193.606
4731,53.84166504603552,27.626957147876965,193.446
4741,53.84167770646134,27.627134173671948,193.665
4751,53.84160807407199,27.62732192830299,193.944
4761,53.84176632933486,27.627429216663586,193.478
4771,53.84188343784427,27.62734338597511,193.158
4781,53.84182330108305,27.627150266926037,193.286
4791,53.84183279636688,27.626930325786816,192.937
4801,53.84178215482824,27.626662104885327,192.689
4811,53.84169669709288,27.626753299991833,193.053
4821,53.8416112391831,27.62658163861488,193.068
4831,53.841538441566826,27.62656554536079,193.257
4841,53.84165871582118,27.626383155147778,192.530
4851,53.84158591828745,27.62628659562324,192.554
4861,53.841595413625114,27.62608811215614,192.080
4871,53.841513120627155,27.625964730541455,192.158
4881,53.841525781098895,27.625776975910412,191.732
4891,53.841377020314056,27.62583062009071,192.458
4901,53.84151945086351,27.625385373394238,191.326
4911,53.841532111333365,27.62554630593513,191.456
4921,53.841446653087644,27.625267356197583,191.653
4931,53.84192141891213,27.624500244419323,187.179
4941,53.84182963127252,27.624682634632336,188.017
4951,53.84179798031565,27.624891846935498,188.573
4961,53.84175999913583,27.62511178807472,189.246
4971,53.84169036688331,27.625197618763195,189.924
4981,53.841646055389624,27.625283449451672,190.339
4991,53.84170619240543,27.625439017574536,190.256
5001,53.84167454135526,27.625680416385876,190.924
5011,53.841668211142334,27.625911086361157,191.393
5021,53.841772659532914,27.626157849590527,191.618
5031,53.84187710766295,27.625991552631604,190.744
5041,53.841807475605215,27.6257930691645,190.498
5051,53.841839126554916,27.625444381992565,189.485
5061,53.84190559347139,27.625261991779553,188.564
5071,53.84199105078037,27.625138610164868,187.729
5081,53.8420638476097,27.624940126697766,187.051
5091,53.8422474216608,27.62504741505836,186.104
5101,53.84220627582279,27.625278085033642,186.946
5111,53.8420638476097,27.625412195484387,188.183
5121,53.84196573011441,27.62556776360725,189.130
5131,53.84185178692809,27.625680416385876,190.039
5141,53.841987885697975,27.62580916241859,189.760
5151,53.84202586667105,27.626007645885693,190.209
5161,53.84195939994551,27.626168578426586,190.959
